question,answer
Write an article about the relationship between mental health and eating habits,"Mental health and eating habits are deeply interconnected. Research has shown that poor mental health can lead to unhealthy eating habits, such as overeating or not eating enough, as well as an increased risk for eating disorders. Conversely, healthy eating habits can improve mental health, helping with mental clarity, emotional regulation, and improved mood. 

When it comes to mental health, what you eat matters. Eating a balanced diet can provide essential nutrients that not only keep you physically healthy but also help support mental health. Eating a diet high in whole grains, fruits, vegetables, and healthy fats can boost energy and mood while also aiding in weight management. Conversely, a diet high in junk food, processed snacks, and sugar can lead to more fatigue and brain fog, and can even lead to unhealthy weight changes.

Take the time to eat mindfully. Eating slowly and without distractions can help you stay aware of your hunger and fullness levels, making it easier to avoid overeating or skipping meals. Make time for meals, even if it’s just a quick snack. Not eating enough can deplete energy levels, lead to mood changes, and increase stress levels.

Overall, it is important to take care of your mental health by following a nutritious diet and making time for mindful meals. Eating to support your mental health will not only ease feelings of stress and anxiety, but can also provide better focus and clarity throughout the day."
"Modify the given text for the target audience
Text: Artificial Intellgence (AI) is an exciting new technology that is rapidly changing our world. 

Audience: Primary school children","AI is an awesome and powerful tool that is transforming the way we live our lives. It has the potential to do so much to make things easier, smarter and more fun!"
Suggest an educational field trip for children,"A great educational field trip for children would be to visit a local zoo or animal park. Children would get to observe and learn about a variety of animals, as well as gain understanding of the conservation efforts needed to protect them."
Generate five scientific facts about mammals.,"1. Mammals are the only animals with fur or hair. 
2. Mammals are the only animals that can produce a flap of skin, called an auricle, that serves as an acoustic channel. 
3. Mammals possess a four chambered heart and can regulate their own body temperature. 
4. Mammals have a neocortex, which is the part of the brain responsible for higher thought processes and various aspects of cognition. 
5. Mammals reproduce through internal fertilization and give birth to live young."
"Create a plan to launch the given product.
A new fashion line","I will create a plan to launch the fashion line. The plan should include a promotional strategy, such as working with influencers, creating an online presence, and advertising campaigns. I should also include the timeline for production and the launch, as well as an inventory management plan to ensure a steady supply of the product."
"Generate 3 product ideas based on the given criteria
A product for busy parents to help keep their children entertained","1. A monthly subscription box of educational activities for children.
2. A mobile app which provides interactive activities to keep kids engaged and entertained. 
3. A set of board games and puzzles designed to help kids learn and have fun at the same time."
"Compare the two topics.
Art vs. Nature","The two topics of art and nature have many similarities and differences. Nature is filled with organic and natural beauty, which can be seen in landscapes and wildlife. Art is a human creation that can be expressed by painting, sculpture, photography, music, and many other mediums. Nature is an unmutable force of the world, while art is an ever-evolving form of expression that is shaped by culture and personal interpretations. Though art is rooted in creativity, nature is an endless source of inspiration for its creators. Both art and nature ultimately have the power to bring beauty and joy to people's lives."
"Edit the sentence to use less than 70 characters.
No one in the family believe what happened, the whole thing was just too hard for everyone to comprehend.",No one believed the events. Too hard to comprehend.
Edit the following statement: 'Everyone are special'.,Everyone is special.
Can you generate five questions about dinosaurs that can be used in a short quiz?,"1. What type of dinosaur was the largest?
2. How long did the average dinosaur live?
3. Is the Tyrannosaurus Rex considered a carnivore or an herbivore?
4. When did the asteroid that killed the dinosaurs hit the Earth?
5. What did Dinosaurs eat?"
Generate an animated gif with an astronaut sailing in a spaceship,An animated gif with an astronaut sailing in a spaceship.
"Specify which of the two given scenarios has the bigger impact on the climate crisis
Scenario 1: Individual choices to reduce emissions  
Scenario 2: Government policy to reduce emissions","Government policy to reduce emissions has a bigger impact on the climate crisis. Governments can enact legislation to reduce emissions, incentivize renewable energy, invest in research and development of new clean energy technologies, and much more. These measures have a larger impact than individual choices."
"Search the internet and find the nearest Indian restaurant.
Berlin, Germany","The nearest Indian restaurant to Berlin, Germany is Malabar, located at Wilhelmstr. 26, 10117 Berlin. It is 0.2 miles away and the restaurant serves authentic Indian cuisine with vegan, vegetarian and non-vegetarian options."
Name three things you can find in a refrigerator.,"You can find milk, eggs, and cheese in a refrigerator."
"Rewrite the sentence and use the word 'presidential'
Alice got an exciting job at a high-level company.",Alice got an exhilarating job at a presidential-level company.
Complete this sentence with an example of a homophone.,A pair of pears and a pair of chairs.
Give me three interesting facts about the country of Chile.,"1. Chile has one of the longest coastlines in the world, with over 4,300 kilometers of Pacific Ocean coastline.

2. The Atacama Desert in northern Chile is one of the driest places in the world, with parts of it not having received any rainfall at all for decades.

3. Chile is home to the largest concentrated area of volcanoes in the world—the 'South Volcanic Zone'—which consists of 19 active and more than 300 presently dormant volcanoes."
"Rewrite the following sentence using active voice instead of passive voice: The game was watched by hundreds of viewers.
noinput",Hundreds of viewers watched the game.
Construct a sentence employing research-backed positive language.,I look forward to engaging with this new opportunity.
"Which of the following objects is a real world object?
a) Book
b) Unicorn
c) Pen
d) Chair","a) Book,
d) Chair."
Which US state has the second smallest population?,"The US state with the second smallest population is Wyoming with a population of 578,759."
Describe how one might go about creating a customer satisfaction survey.,"To create a customer satisfaction survey, begin by identifying the goals of the survey. Then, decide on the format and structure of the survey, such as its length, the types of questions to be asked, and the channels through which it will be conducted. Finally, implement the survey and promptly respond to customer feedback."
Find an interesting quote related to design.,"""Design is not just what it looks like and feels like. Design is how it works"" - Steve Jobs"
"Who are the primary stakeholders in the given scenario?
The rollout of a new healthcare policy","The primary stakeholders in the rollout of a new healthcare policy would include healthcare providers, insurers, employers, consumers, and the government. Healthcare providers would need to adjust their practices to comply with the policy, insurers would face changes to their coverage and pricing, employers may need to provide additional coverage or benefits, consumers would need to understand their coverage options and providers, and the government would be responsible for enforcing and monitoring compliance."
Identify 2 examples of types of agricultural subsidies.,"Two examples of types of agricultural subsidies are direct payments and price supports. Direct payments are subsidies that a government pays to a farmer for a specific purpose, such as conservation or production maintenance. Price supports represent the difference between market prices and artificially fixed prices that the government has set, allowing growers to get more for their products than they would have without the support."
"You are given a phrase or set of words that describes an event or situation. Produce a vivid and realistic description of the event.
Loud music in a party","The music was blasting so loud it almost felt like being in the middle of a nightclub. The walls vibrated with the sound and you could hardly hear yourself think. The dance floor was swarming with people, moving their bodies to the rhythm of the beat and letting the music take over their minds. The atmosphere was electric, and it was impossible to resist the energy of the party."
"Given a list of events in chronological order, arrange them correctly
Catered lunch, Company presentation, Address from CEO","Company presentation, Address from CEO, Catered lunch"
How do I improve concentration?,"To improve concentration, it’s important to start by setting achievable goals and making a plan for how to reach them. It’s also important to eliminate distractions, both external and internal. This may include limiting internet use, creating a workspace with limited technology, or creating a schedule for your tasks and sticking to it. Additionally, taking regular breaks and refreshing your mind can be helpful. Exercise, proper sleep, and mediation are all effective methods to improve concentration."
"Sort the following list in alphabetical order.
Camouflage, Furniture, Plaster","Furniture, Camouflage, Plaster"
Generate a list of five items that a customer could use to improve their website.,"1. Optimize HTML, CSS, and JavaScript code
2. Leverage a content delivery network (CDN)
3. Implement caching strategies
4. Tune server settings
5. Optimize images"
"Given a list of names, sort it in alphabetical order.
John, Jack, Lisa, Kate","Jack, John, Kate, Lisa"
Tell one interesting fact about the American Civil War.,"The American Civil War was the deadliest war in American history, with more than 620,000 soldiers killed in combat and nearly as many dying from disease during the four-year conflict."
Come up with 3 alternative synonyms for the word “adept”.,"1. Skilful
2. Proficient
3. Accomplished"
What is the GDP of India in 2019?,The GDP of India in 2019 was 2.6 trillion USD.
Make up a funny joke.,Why did the chicken cross the playground? To get to the other slide!
"Describe what the boy must be feeling in the following scenario.
The little boy walked out of school, alone.",The boy must feel sad and lonely as he walks out of school by himself. He probably wishes he had friends with whom he could talk and share his day.
"Let's create a story! Start with ""Once upon a time"".","Once upon a time there was a small village near a dark forest. Every night the villagers were terrorized by a giant monster who emerged from the depths of the forest. One day, a brave young woman decided to take matters into her own hands and ventured into the forest to take care of the monster."
Write a fictional narrative about a space journey,"It was an exciting moment for Captain Charles, as he leaned out of the window of his spaceship. He had set out on a mission to explore the outer reaches of space, and he was now nearing his destination. As he looked out into the vast emptiness of space, he was overwhelmed with a sense of awe and wonder. He knew that he was the first one to venture so far into the void, and he couldn't help but feel a sense of pride. He felt a great responsibility on his shoulders, to bring back knowledge and evidence of new planets and civilizations. 

He couldn't contain his excitement as he neared a mysterious planet. As he made his orbit around it, he saw the barren surface littered with strange alien artifacts. He slowly descended and was about to dock when he was startled by a strange sound emanating from the planet's surface. Tentatively, he approached the source of the noise and saw a strange alien creature. It seemed to nod in greeting and Charles felt a deep connection. He had found a living being from a distant part of the universe! 

Captain Charles was filled with a newfound sense of purpose as he made contact with the alien creature and exchanged stories. They discussed the present and the future, and Charles learnt many new ideas that he thought could benefit humanity. After they exchanged farewells, Charles returned back to his home planet with newfound knowledge and a bag full of evidence of alien life forms and civilizations."
Explain how GitHub can be used as a project management tool.,"GitHub can be used as an effective project management tool by leveraging its various features. GitHub allows users to create repositories which acts as a centralised hub for all of the project’s documents, code, and other related materials. By using features such as pull requests, code reviews, and branch permissions, users can control changes to the project code and documents. Additionally, GitHub can be used for collaboration by giving users visibility into the progress of a project and its members. Through its wide range of features, GitHub can be used to track, organise, and manage the development of any project."
Describe the reaction of a person receiving a surprise gift.,"When receiving a surprise gift, a person's reaction is usually one of surprise, delight, and gratitude. They may smile, laugh, or even cry tears of joy. They may also express how touched and excited they are for the gesture. If it is an especially meaningful present, the receiver may take time to savor the moment, showing appreciation and gratitude for the thought and care put into the gift."
Evaluate the following logical statement as true or false and explain why: All dogs are mammals.,"True, because mammals are defined as any warm-blooded vertebrate animal of the class Mammalia, and dogs belong to this class."
Generate an analysis of the book To Kill a Mockingbird,"To Kill a Mockingbird is a beloved classic which shines a spotlight on the injustices present in the Jim Crow South. Through narration by its young protagonist Scout, the reader is exposed to the racism and prejudice deeply rooted in the community. Scout's father Atticus Finch serves as the moral center of the novel, embodying the values of courage and justice. The themes of loss of innocence and standing up against racism are reflective of the tumultuous timeframe during which the novel is set. To Kill a Mockingbird is a timeless classic that continues to impact readers to this day."
Imagine you received news of an impending natural disaster. What are the three most important items you would need to prepare for the disaster?,"Essential items to prepare for a natural disaster are bottled water, non-perishable food items, and a portable first-aid kit."
"Make a smoothie using these ingredients: frozen strawberries, banana, orange juice, and honey.","To make a smoothie, blend together 1 banana, 1 1/2 cups of frozen strawberries, 1 cup of orange juice, and 1 tablespoon of honey. Enjoy!"
"Generate a set of 5 questions and answers about the given topic.
The 2020 U.S Presidential Election","Q1: Who won the 2020 U.S Presidential Election?
A1: Joe Biden won the 2020 U.S Presidential Election.

Q2: What was the date for the 2020 U.S Presidential Election?
A2: The date for the 2020 U.S Presidential Election was November 3, 20"
Name five famous landmarks in Paris.,"The five famous landmarks in Paris are the Eiffel Tower, The Louvre, Notre-Dame de Paris, Arc de Triomphe, and the Basilica of the Sacred Heart of Jesus."
"Rewrite the sentence to use the present continuous tense
The scientists studied the results.",The scientists are studying the results.
Generate a strategy to increase sales,"A strategy to increase sales could include offering discount codes and promotions, running targeted advertising campaigns to reach potential customers, establishing partnerships with complementary businesses, improving customer service to increase customer loyalty, introducing loyalty programs, and cross-selling products. Additionally, it may be beneficial to conduct market research to track customer preferences and update content accordingly."
What are the 5 core values at Google?,"The 5 core values at Google are Focus on the User, Innovation, Collaboration, Courage, and Decide & Act."
Design a LinkedIn profile for a college freshman,"I am a college freshman studying Business Administration at ABC University and am passionate about the corporate world and its ever-expanding opportunities. My goal is to gain practical experience by interning with a reputable firm and learning the ropes of running an organization. I am an avid learner looking for ways to expand my knowledge of the industry through professional conversations, attending seminars and conferences, and reading industry news. As for my background, I have a good amount of knowledge about marketing, economics and accounting, and have achieved outstanding grades in these courses.

I am very active on social media and have an extensive online network. I am adept at using various software applications including MS Office and have exceptional technical skills. I am a natural leader who is always looking to take on new challenges and push myself to excel in the corporate world."
Estimate the total cost of a cross-country road trip from Los Angeles to New York.,"The estimated cost for a cross-country road trip from Los Angeles to New York would be around $3,000. This includes gas, lodging, food, and activities."
Explain the difference between a perpetual and perpetual calendar,"A perpetual calendar is a calendar with the same dates and days of the week in the same order every year. It includes leap years, which are years with an extra day to account for the extra day in the leap year. On the other hand, a non-perpetual calendar is a calendar that changes from year to year and is usually based on a specific system of months, number of days, etc. For example, the Gregorian calendar is non-perpetual as it has variable lengths for different months and does not, for example, have a leap year at all times."
"Given the following components, build an essay discussing the benefits of renewable energy.
Wind energy, solar energy, geothermal energy","Renewable energy sources like wind, solar, and geothermal can provide a viable and sustainable alternative to traditional energy sources like coal and oil. Wind energy is a reliable and plentiful resource, making it a cost-effective solution for providing electricity. Solar energy is abundant and can be used to generate electricity without contributing to emissions of greenhouse gases or pollutants. Geothermal energy is efficient and renewable, and can be used to heat buildings and water. With the benefits of renewable energy becoming increasingly clear, it is evident that these resources are a viable option for saving energy and money in the long run."
"Make this sentence sound like a pleasant request.
You must do it.","Would you mind doing it, please?"
List three advantages and three disadvantages of using AI for customer service.,"Advantages of using AI for customer service:
1. AI customer service can provide a 24/7 response to customer inquiries. 
2. It is cost-effective and helps companies save time and money.
3. AI customer service systems can process large volumes of data quickly and accurately.

Disadvantages of using AI for customer service:
1. AI customer service systems may not include human judgement, leading to a lack of personability.
2. AI customer service systems can be difficult to scale.
3. AI customer service systems are susceptible to errors if they are not regularly maintained."
"Add an idiom or proverb to the sentence that encourages someone to quit a bad habit.
I need to stop procrastinating.",I need to stop procrastinating before it's too late - better to nip it in the bud.
Create a list of five ingredients needed to bake a cake,"To bake a cake, you will need the following ingredients: flour, sugar, butter, eggs, and baking powder."
"Using the words in parentheses, create a sentence with a precise meaning.",Many people are intrigued by the (possibilities) that artificial intelligence (unlocks).
Brainstorm three most successful marketing campaigns in the past year.,"The ‘Share a Coke’ campaign by Coca-Cola, the ‘It’s Not Complicated’ campaign by AT&T, and Burger King’s ‘Whopper Detour’ campaign."
"Find the intersecting point of these two lines
x + 3y = 6
2x - 4y = 3","The intersecting point of these two lines is (1,1)."
What is the average calories burned by running 1 km?,The average calories burned by running 1 km is roughly 70-75 calories. This can vary based on the person's weight and speed.
"Send an email to your professor after class.
Subject: Feedback from Class","Dear Professor ____,

I wanted to share my feedback from today's class. I appreciate the discussion we had and the resources you provided. I found the topic very interesting and I am looking forward to learning more in future classes.

Thank you for your time,
[Name]"
"Classification task: The following sentence is positive or negative?
The music was too upbeat for my taste.",Negative.
Generate an outdoor activity for a summer day.,"Go on a picnic in the park with friends or family and enjoy the sunshine, fresh air, and good company."
Compose a short story about a girl who discovers a mysterious artifact.,"Once upon a time, there was a girl named Sarah who lived in a small town nestled in the mountains. One day while exploring around her town, she stumbled upon a strange, ancient-looking artifact. She was mesmerized by it’s intricate designs and shapes and decided to take it home. When she arrived home, she decided to research it to discover where it had come from and why it was in the middle of the woods. She eventually discovered that it was a piece of an ancient civilization from thousands of years ago. She was amazed at her discovery and even more intrigued by the potential secrets it may hold."
What is the primary ingredient in a fish taco?,"The primary ingredient in a fish taco is usually some kind of flaky white fish, such as tilapia or cod."
Construct a model of an atom,"An atom is made up of a small, dense nucleus surrounded by electrons that are arranged in shells around the nucleus. The nucleus is made up of positively charged protons and neutral neutrons. The number of protons in an atom's nucleus determines what type of atom it is. Electrons orbit the nucleus in specific energy levels known as ""shells"" and are negatively charged. These shells are filled with electrons in a specific order and each shell can only hold a certain number of electrons.

The model of an atom consists of a sphere that represents the nucleus in the center of the atom, surrounded by rings that show where the shells are located. The protons and neutrons are represented by small spheres in the nucleus and the electrons are represented by small spheres that are placed at different distances from the nucleus, each representing a different shell."
Suggest the most effective way to learn a new language,"The most effective way to learn a new language is to immerse yourself in it. This means spending time with people who speak the language, watching movies and TV shows in the language, and reading books or other written material. Additionally, actively using the language is the best way to learn - find conversation partners to practice with or join a language exchange program. Finally, take advantage of digital language learning tools, such as apps or online courses, to supplement your learning."
"Write the output for the given input to the code.
def say_hello(name):
 print('Hello ' + name + '!')

input:
Tyra",Hello Tyra!
Generate the verb form of the word 'write'.,Write
Generate a list of five bloggers who write about educational topics in English language.,"1. Pernille Ripp, https://pernillesripp.com
2. Larry Ferlazzo, https://larryferlazzo.edublogs.org
3. Audrey Watters, https://www.audreywatters.com
4. Alan November, https://novemberlearning.com
5. Vicki Davis, https://coolcatteacher.com"
You need to design an app for making restaurant reservations. Explain the steps taken during the process.,"The process for making a restaurant reservation through an app involves several steps:
1. Search for a restaurant: Users can search for restaurants within the app, filtering by cuisine and location. 
2. Choose a restaurant: Once the restaurant is chosen, users can view all relevant information about the restaurant, such as cuisine, opening hours and reviews.
3. Select date, time and number of people: After selecting the date and time of their reservation, users can indicate the number of people who will join them.
4. Enter personal information: Users can provide their name, contact information and payment details.
5. Submit request: Finally, the user can submit their reservation request and receive confirmation."
"Change this imperative sentence into a declarative sentence.
Find the source of the issue.",The source of the issue needs to be found.
"Generate a creative proverb using the keywords ""expectations"" and ""success"".",High expectations bring greater success.
Generate a random sequence of 12 letters.,gvhbzesqrfjz
"Given some ingredients, write a recipe for a healthy snack.
Oats, banana, peanut butter","Banana Oat Bars: Preheat oven to 350°F. In a bowl, mash 2 bananas and mix with 1⁄2 cup of oats. Stir in 1 tablespoon of peanut butter and 1 tablespoon of honey until combined. Spread the mixture into a 8x8-inch baking dish. Bake for 20 minutes, cool, and cut into bars. Enjoy!"
"Create a 3D rendering of a house using the provided dimensions.
Height: 40 feet
Width: 30 feet
Length: 20 feet",<Insert 3D rendering of house here>
List the 3 longest rivers in Europe.,"The three longest rivers in Europe are the Volga, the Danube, and the Ural."
"Construct a palindrome sentence containing the word ""happy"".","Happyy dulluh, Eve hap pyy, huh?"
Give a meaningful example of how a company could use customer feedback data.,"A company can use customer feedback data to gain insights on how to improve customer satisfaction. For example, customer feedback could be used to identify areas of improvement such as customer service, product features, or pricing. The company can use this data to create targeted strategies to address customer needs, improve the customer experience, and ultimately build customer loyalty."
Suggest a strategy to prevent water spills on a kitchen countertop.,Place an absorbent mat or paper towels under the sink and at the back of the countertop to prevent water spills.
Generate the name for a mobile application that allows users to order food from their local restaurants.,Foodly - Get Satisfied!
"Sort a list from largest to smallest.
{3,7,1,5,2}","{7,5,3,2,1}"
"Describe a scene from the given book.
Harry Potter","In the book Harry Potter, there is a scene in the Great Hall where Harry, Ron and Hermione are sitting around a table eating with other Hogwarts students. The ceiling is lit up with a thousand twinkling stars, and the walls are lined with magical paintings."
"Find the distance between two points with the following coordinates.
Point A: (2, 3)
Point B: (6, 4)",The distance between the two points is 5 units.
"Propose three solutions to the following issue
Lack of access to healthcare","Creating universal healthcare systems, implementing health insurance schemes, and increasing investments in rural health clinics."
Write a tweet that promotes a local musician,Check out @LocalArtist's latest release! Their captivating melodies and powerful lyrics will keep you coming back for more. #SupportLocalArtists
Name a cardiac disease.,Congestive heart failure.
Provide three possible solutions to reduce global warming,"Three possible solutions to reduce global warming include: reducing our emissions of greenhouse gases such as carbon dioxide, switching to clean energy sources like wind and solar, and better managing forests and other ecosystems to reduce their impact. Additionally, developing more energy efficient technologies and investing in research and development of renewable energy sources can help slow the effects of global warming."
"Come up with an example to illustrate the usage of the phrase.
boiling point",Water reaches its boiling point of 100°C at standard pressure when heated.
List five safari animals,"Lions, Leopards, Elephants, Giraffes, Rhinos."
"Create a user manual for the following product
A new electric car","User Manual for Electric Car:
This user manual describes how to safely and correctly use your electric car. To get started, check that the vehicle is charged and ensure the climate control settings are correct. Before driving, make sure all passengers are belted in, and that any objects are securely stored in the trunk. When driving, keep your speed under the speed limit, and be aware of any pedestrians or objects in the area. Be sure to check your brakes and tire pressure regularly, and follow any other general safety protocol of the area. Finally, always keep the vehicle in a secure area and lock the door with the key."
What are some major benefits of a vegetarian diet?,"The major benefits of a vegetarian diet include increased consumption of fiber, vitamins, and minerals; reduced saturated fat; lowered risk of obesity, diabetes and heart disease; reduced animal suffering; and the potential for environmental benefits."
Generate a list of activities that you can do to boost your energy.,"Activities that can boost energy include getting enough sleep, exercising regularly, eating healthy, drinking plenty of water, meditating, and refraining from sugary and fatty foods."
"For the following sentence, rewrite the sentence in an interrogative way.
John saw the movie last night.",Did John see the movie last night?
"Name the given musical note.
(A musical note)",The musical note is an F sharp.
Construct a four-panel comic strip about a single topic.,"Panel 1: An old man is standing in a dimly lit room, staring ahead with a sad expression. 
Panel 2: He notices a bright speck of light in the corner of the room.
Panel 3: He moves closer to investigate, and finds it is a small firefly.
Panel 4: He smiles and looks off into the distance, his face glowing with newfound hope."
Write a poem about friendship that follows the rhyme scheme of AABBCCDDEE.,"Friendship is a blessing, more valuable than gold,
A bond that's built on trust, and makes the heart feel bold.
A friend will always sleep when you are feeling bad,
And come right along with you when it’s time to be glad.

Friends laugh with each other when the jokes are flowin' free,
And they help learn life lessons together, eternally.

Friendships may be present through hardships and strife,
And make through the good times, the highest of highs.
Dedication between them true is seen and felt,
Making sure that their friendship will never ever melt. 

Each friendship is unique, with beauty that does grow,
Each one is special from each other, you know. 
In friendship, in generous spirit, evergreen,
A constant reminder of courage and harmony."
"What is the best way to solve this algebraic equation?
2x + 10 = 20","The best way to solve this equation is to subtract 10 from both sides, so it becomes 2x = 10. Then, divide both sides by 2 to get x = 5. Thus, the answer is x = 5."
Describe a situation when a friend is cheating on a test and what should one should do about it.,"A friend cheating on a test is an ethical dilemma that can be difficult to navigate. On one hand, it may be beneficial for the friend to ""get away with it"" in the short-term. On the other hand, it is not fair to their peers who are working hard and staying honest. In addition, condoning cheating sets a problematic precedent and encourages similar behavior in the future. In this situation, one should confront their friend and explain why cheating is wrong, and suggest exploring alternative strategies before engaging in unethical behavior."
"Rewrite the sentence to eliminate any ambiguity.
He returned the book he borrowed last week.",He returned the book that he had borrowed last week.
Create a list of activities that are related to sports.,"Activities related to sports include: playing organized sports like football, baseball, basketball, hockey, and soccer; participating in individual and team competitions; attending sporting events; doing exercise; watching sports on TV; coaching a team; and playing sports-related video games."
"Create a short story of your own in 200 words featuring the following words: ""plate"" and ""proud"".","Once upon a time there was a family that had a small pet bird that they absolutely adored. Every day, they would take the bird out of its tiny cage and set it on a plate on the table. They would marvel as the bird basked in the sunlight and soaked in the attention of its human family. 

Every morning, the family would rise and prepare a delectable assortment of fruits and seeds for their tiny treasure. They would fill the plate to the brim with their creation, and the bird would joyously peck away at its meal. As the day passed, the family would take pride in how much their pet had grown.

The bird was a blessing for the family; it became a symbol of hope and joy for them. However, as time slowly passed, nothing remains the same. 

A few years later, the tiny pet was growing old, and it was slowly becoming more frail. But it still held onto the same pride that it had had when it was young. On its last day, the family brought out the same small plate and filled it with its favorite food.

The bird quietly passed away that day, but the family was still proud of the time they had spent with their beloved pet. The words “plate” and “proud” became firmly entrenched in the families’ way of life, as they would always be reminded of their little friend every time they looked at the plate on their table."
"Construct an example sentence using the given adverb and verb.
cautiously, drive",He cautiously drove down the winding road.
Suggest a recipe that has less than 500 calories per serving.,"A healthy and delicious recipe with less than 500 calories per serving is Grilled Salmon with Roasted Vegetables. The ingredients for the recipe are 4 4-ounce salmon fillets, 1 tablespoon olive oil, 1/2 teaspoon lemon pepper, 1/4 teaspoon garlic powder, 2 diced tomatoes, 2 diced zucchini, 2 diced yellow squash, 1 teaspoons dried oregano and some chopped parsley."
"Given a list of sounds, describe how each sound is produced.
Sounds – laughter, barking","Laughter is produced through the stimulating of the diaphragm and other respiratory muscles contracting and releasing air, while vocal cords and other vocal organs help in producing different tones.
Barking is produced through the vocal cords located in the larynx vibrating against the throat and lungs releasing air, while the higher or lower pitch of the bark is determined by the pressure of the air."
"Generate a keyword list that suits the content of the article.
The article is about understanding the economic growth of India over the last 5 years.","economics, India, GDP, growth, development, finance, investments, inflation, taxes, money, industry, job market, government initiatives, regulations, Standard of Living."
"Turn the following text into active voice.
The decision was made by the president.",The president made the decision.
"Create a function that takes an integer as an argument, and prints out its factorial.","def factorial(num):
    if num == 0:
        return 1
    else:
        return num * factorial(num - 1)"
"Create a signature line for the following email.
Hi,

My name is John Smith and I'm a software developer.","Regards,
John Smith
Software Developer"
"Edit the incorrect text.
She was delighted with surprising announcement.",She was delighted with the surprising announcement.
"Determine if the mouth is the correct word for the context.
He was speaking through his food.","No, the correct word is mouth."
Come up with three potential strategies to reduce global warming.,"1. Replacing fossil fuels with clean, renewable energy sources such as solar, wind and hydro power. 
2. Implementing energy efficient policies - such as green building standards and standards for vehicles, appliances and electronics. 
3. Increasing the use of carbon capture and sequestration technologies, as well as forestry and farming techniques that capture carbon dioxide."
"Normalize the date format in the sentence.
The meeting is next thursday.","The meeting is next Thursday, 15th April 2021."
"Resolve this ethical dilemma.
A woman discovers that her best friend is stealing from their workplace.",The woman should confront her friend and let her know that she is aware of the theft. She should explain the potential consequences of getting caught and offer her friend help and advice on how to address the issue.
Create a list of 10 fun activities for a family reunion.,"1. Play an outdoor game like hide and seek or tag. 
2. Have a potluck dinner and share family recipes. 
3. Have a talent show and encourage everyone to participate. 
4. Participate in a scavenger hunt. 
5. Take family photos or have a friendly photoshoot. 
6. Go on a hike or a nature walk. 
7. Have a movie night and watch old family movies. 
8. Participate in teambuilding activities like building a campfire and making S’mores. 
9. Have a family dance-off. 
10. Create a family time capsule or memory book."
Suggest a location for a weekend getaway.,"The Grand Canyon in Arizona is a great option for a weekend getaway. The stunning views, outdoor activities, and diverse wildlife make it the perfect place to relax and recharge."
Compose a four-bar progression in the key of A Major.,A – G#m – F#m – Em.
"Categorize the following sentence according to the four categories of sarcasm.
That was brilliant!",Irony
List three tips for better time management.,"1. Prioritize tasks and break them down into manageable chunks.
2. Focus on one task at a time and eliminate distractions.
3. Set realistic goals and track your progress."
"Rate the overall sentiment of the following article. Output a sentiment score of -1 to 1.
Apple Inc. reported strong earnings today, with revenue surpassing expectations by a wide margin.",0.9
Make a table of the top 10 fastest animals,"+----------------------------+-------+
| Animal                      | Speed |
+----------------------------+-------+
| Peregrine Falcon            | 120 mph |
| Golden Eagle                | 110 mph |
| Black Marlin                | 80 mph  |
| Sailfish                    | 68 mph  |
| Pronghorn                  | 61 mph  |
| Cheetah                     | 60 mph  |
| Wild Horse                  | 55 mph  |
| Grey-headed Albatross       | 55 mph  |
| Swift                       | 54 mph  |
| American Pronghorn          | 53 mph  |
+----------------------------+-------+"
Design an experiment to measure the effectiveness of an advertisement.,The experiment could involve distributing a survey to the community to measure awareness and opinions about the advertisement before and after its launch. The survey questions could ask about the effectiveness of the ad in terms of how it influenced potential customers' buying decisions and/or brand recognition. #Experiment #Advertisement #Effectiveness
"Generate a title for a social media post.
Content: Reflection on the current state of the environment",Reflecting on the Fragile State of our Planet.
"Train a classification model to classify emails as ""spam"" or ""not-spam"", using the given dataset.
csv dataset containing 200 emails.","Input Dataset:

Email Content, Spam/Not-Spam

The cat sat on the mat, Not-Spam
Earning extra money is easy, Spam 
Make sure to check your emails, Not-Spam
...
Output Model:

Trained classification model, with accuracy score of at least 95%."
"Label each of the given pieces of data as either ""discrete"" or ""continuous"".
Height",Continuous
"Organize these three pieces of information in chronological order
- The acceptance of the Constitution
- The signing of the Declaration of Independence 
- The Battle of Saratoga","The signing of the Declaration of Independence, The Battle of Saratoga, The acceptance of the Constitution."
"Create an algorithm that divides a given array of numbers into two sets such that the sum of the elements in each set is the same.
[5, 10, 15, 20]","Set 1: [5, 15] 
Set 2: [10, 20] 
Algorithm:
1. Create two empty sets, set1 and set2. 
2. Add the first number in the list to set1. 
3. Calculate the sum of the numbers in set1 and set2. 
4. If sum of set1 is less than the sum of set2, add the next number to set 1. If the sum of set1 is greater than the sum of set2, add the next number to set2. 
5. Repeat step 4 until all numbers in the list have been added to one of the sets."
What is the significance of the day May 5th?,"May 5th is celebrated in many countries as a day of freedom and remembrance. In the United States, it is often referred to as National Military Appreciation Day, in honor of the men and women who have served in the armed forces. In the United Kingdom, it is celebrated as a day of remembrance for those who lost their lives in battle or who served in the armed forces. In Mexico and Canada it is marked as Cinco de Mayo, a day to celebrate Mexican heritage and pride."
Name the five oceans.,"The five oceans are the Arctic Ocean, the Atlantic Ocean, the Indian Ocean, the Pacific Ocean, and the Southern Ocean."
"Rank these books from most interesting to least interesting.
Alice in Wonderland, Jane Eyre, The Lord of the Rings","The Lord of the Rings, Alice in Wonderland, Jane Eyre"
